Code #,Postal code,Rent,City,Street,SqMeter,Land,Lat,Lng,Bedrooms,Attic,Basement,Garage,Pool,Office,Energy,Image,Link
8634315,1450,1150,SAINT-GÉRY,,145,2816,,,4,No,No,No,No,Yes,,https://static.immoweb.be/photos/0/8/6/3/4/3/1/5/M_8634315_1.jpg?cache=20200311165934,https://www.immoweb.be/fr/annonce/maison/a-louer/saint-g-ry/1450/8634315
8626250,5020,1200,Namur,,214,0,,,4,No,No,Yes,No,No,G,https://static.immoweb.be/photos/0/8/6/2/6/2/5/0/M_8626250_1.jpg?cache=20200229034510,https://www.immoweb.be/fr/annonce/maison/a-louer/namur/5020/8626250
8623060,5032,1080,Isnes,Place d'Isnes-les-Dames 12,180,800,50.5051633,4.7280737,3,No,No,No,No,No,,https://static.immoweb.be/photos/0/8/6/2/3/0/6/0/M_8623060_1.jpg?cache=20200221122830,https://www.immoweb.be/fr/annonce/maison/a-louer/isnes/5032/8623060
8612164,1300,1500,Wavre,,140,0,,,4,Yes,No,Yes,No,Yes,C,https://static.immoweb.be/photos/0/8/6/1/2/1/6/4/M_8612164_1.jpg?cache=20200215024004,https://www.immoweb.be/fr/annonce/maison/a-louer/wavre/1300/8612164
8599612,1360,1350,Perwez,Rue de Mellemont 6,180,728,50.6580012,4.8174074,4,Yes,Yes,Yes,No,No,E,https://static.immoweb.be/photos/0/8/5/9/9/6/1/2/M_8599612_1.jpg?cache=20200305022420,https://www.immoweb.be/fr/annonce/maison/a-louer/perwez/1360/8599612
8598922,5310,1300,DHUY,,157,600,,,4,No,No,No,No,No,B,https://static.immoweb.be/photos/0/8/5/9/8/9/2/2/M_8598922_1.jpg?cache=20200207164919,https://www.immoweb.be/fr/annonce/maison/a-louer/dhuy/5310/8598922
8589220,1457,1100,TOURINNES-SAINT-LAMBERT,,160,100,,,4,No,Yes,Yes,No,No,,https://static.immoweb.be/photos/0/8/5/8/9/2/2/0/M_8589220_1.jpg?cache=20200402113924,https://www.immoweb.be/fr/annonce/maison/a-louer/tourinnes-saint-lambert/1457/8589220
8560030,1325,1475,BONLEZ,,200,0,,,3,No,Yes,No,No,No,C,https://static.immoweb.be/photos/0/8/5/6/0/0/3/0/M_8560030_1.jpg?cache=20200116185940,https://www.immoweb.be/fr/annonce/maison/a-louer/bonlez/1325/8560030
8537130,5310,1250,TAVIERS (NAM.),,150,0,,,4,No,No,No,No,Yes,B,https://static.immoweb.be/photos/0/8/5/3/7/1/3/0/M_8537130_1.jpg?cache=20200311143932,https://www.immoweb.be/fr/annonce/maison/a-louer/taviers--nam--/5310/8537130
8491351,1360,1100,Perwez,Rue du Mont 68,152,800,50.6170414,4.8072816,3,No,No,Yes,No,No,B,https://static.immoweb.be/photos/0/8/4/9/1/3/5/1/M_8491351_12.jpg?cache=20191130130214,https://www.immoweb.be/fr/annonce/maison/a-louer/perwez/1360/8491351
8286904,1340,1390,Louvain-La-Neuve,rue de namur 6,145,210,50.658042,4.604641,3,No,Yes,Yes,No,No,,https://static.immoweb.be/photos/0/8/2/8/6/9/0/4/M_8286904_6.jpg?cache=20200217122723,https://www.immoweb.be/fr/annonce/maison/a-louer/louvain-la-neuve/1340/8286904
